"","x"
"327","EIF3K"
"328","EIF4E2"
"329","RBM14"
"330","PRMT1"
"331","ORC6"
"332","CNOT2"
"333","KNOP1"
"334","NIPBL"
"335","ABHD2"
"336","USP10"
"337","EMC4"
"338","UBXN4"
"339","NOP2"
"340","POMP"
"341","SEPT2"
"342","C14ORF119"
"343","TRIAP1"
"344","HSBP1"
"345","MRPL57"
"346","AURKB"
"347","DNAJC8"
"348","SRSF4"
"349","RAD1"
"350","PSMD4"
"351","EIF3A"
"352","GTF2F1"
"353","BCAP31"
"354","PRPF4"
"355","WSB1"
"356","NSA2"
"357","KIF5B"
"358","MRPL55"
"359","SMAD2"
"360","SAP18"
"361","ADRM1"
"362","RPL38"
"363","AATF"
"364","EEF2"
"365","LYAR"
"366","NSRP1"
"367","POLR2F"
"368","RBM25"
"369","TMPO"
"370","PAK1IP1"
"371","RPS27"
"372","SUMO2"
"373","PRPF4B"
"374","TIMMDC1"
"375","FAM60A"
"376","MESDC2"
"377","HNRNPDL"
"378","SCO1"
"379","POLR1D"
"380","UXT"
"381","NUDT21"
"382","KPNA1"
"383","NOP10"
"384","SURF6"
"385","ZCRB1"
"386","NDUFB6"
"387","GNL3"
"388","CDC27"
"389","VIMP"
"390","LMAN1"
"391","XPO1"
"392","TCERG1"
"393","ARPP19"
"394","DDX52"
"395","NMT1"
"396","NOLC1"
"397","MELK"
"398","GIGYF2"
"399","ERP44"
"400","NAT10"
"401","CLINT1"
"402","TMA7"
"403","HCCS"
"404","YTHDC1"
"405","GTF3C2"
"406","TSN"
"407","TIMM23"
"408","SNHG8"
"409","TRIM13"
"410","NAE1"
"411","RBM6"
"412","SF3B6"
"413","OGFOD1"
"414","SIVA1"
"415","BDP1"
"416","NTMT1"
"417","WAPAL"
"418","UTP6"
"419","COX6C"
"420","ORC1"
"421","PAIP2"
"422","ARIH2"
"423","UBE2L3"
"424","PSMC5"
"425","BCCIP"
"426","MED28"
"427","TAF1D"
"428","FBXW2"
"429","MRPL53"
"430","SLC3A2"
"431","COA6"
"432","DDX6"
"433","SRRT"
"434","METAP2"
"435","NCBP2"
"436","PAFAH1B1"
"437","EIF3M"
"438","UBQLN1"
"439","LOC727896"
"440","LOC401010"
"441","ABT1"
"442","FUBP1"
"443","SS18"
"444","CDC42"
"445","TFAM"
"446","MPHOSPH10"
"447","SEP15"
"448","PRPF6"
"449","SRP72"
"450","TTC1"
"451","DDX56"
"452","CHD7"
"453","GAPVD1"
"454","TUBB4B"
"455","CSNK2A1"
"456","SEC13"
"457","STX3"
"458","LOC102288414"
"459","ANAPC1"
"460","C12ORF45"
"461","ANKRD17"
"462","PDCD10"
"463","MCM4"
"464","WDR74"
"465","LLPH"
"466","SELK"
"467","PPAT"
"468","TMOD3"
"469","PAF1"
"470","EEF1A1"
"471","MRPS18B"
"472","FAM222B"
"473","RANBP3"
"474","RBM22"
"475","UBE2T"
"476","NUP85"
"477","METTL16"
"478","ATP6V1E1"
"479","PET100"
"480","C1ORF43"
"481","ZNF738"
"482","RBM18"
"483","RANBP2"
"484","DDX55"
"485","CTR9"
"486","RPA2"
"487","MRPL2"
"488","CCNF"
"489","ACTR2"
"490","HNRNPA1"
"491","PCBP1"
"492","KLHDC3"
"493","DDX49"
"494","NOB1"
"495","VPS26A"
"496","HMGB2"
"497","BMS1"
"498","TMEM208"
"499","MED13"
"500","CPSF6"
"501","GMNN"
"502","NUP62"
"503","MEAF6"
"504","CCNL1"
"505","TRAPPC1"
"506","ARID1A"
"507","SMG1"
"508","UTP11L"
"509","SRP54"
"510","SDAD1"
"511","MDM4"
"512","PRPF3"
"513","XPO5"
"514","RBM28"
"515","COIL"
"516","MTF2"
"517","TIMM17A"
"518","SNRNP25"
"519","ESRP1"
"520","TNPO1"
"521","POLR2J"
"522","MRPS21"
"523","GID8"
"524","SSR1"
"525","EIF5AL1"
"526","SRA1"
"527","NRBP1"
"528","EIF4E"
"529","UPF2"
"530","SYF2"
"531","MDN1"
"532","ATOX1"
"533","ZRANB2"
"534","RBM3"
"535","CALU"
"536","RBM34"
"537","SEPT7"
"538","SPINT2"
"539","AP3S1"
"540","SRPR"
"541","ZNF638"
"542","PSMC4"
"543","GFM1"
"544","ZFAND6"
"545","LTV1"
"546","ENSA"
"547","EMG1"
"548","SUPV3L1"
"549","CNOT1"
"550","STARD7"
"551","POM121C"
"552","EIF3J"
"553","CGGBP1"
"554","EZH2"
"555","PRCC"
"556","FASTKD2"
"557","PPHLN1"
"558","WDR12"
"559","CPNE1"
"560","LBR"
"561","TCEB3"
"562","RAF1"
"563","MCRS1"
"564","ELP5"
"565","CRK"
"566","POU2F1"
"567","DDX54"
"568","SNRNP200"
"569","TIMM44"
"570","AP1G1"
"571","FANCD2"
"572","ADNP"
"573","RPL41"
"574","RNMT"
"575","SUPT16H"
"576","JMJD6"
"577","WBP11"
"578","PTRH2"
"579","KIAA1731"
"580","SARS"
"581","COX16"
"582","NCBP1"
"583","NIPA2"
"584","RBBP4"
"585","CDCA4"
"586","NSFL1C"
"587","MMADHC"
"588","ASNSD1"
"589","EIF2S3"
"590","SNRNP40"
"591","MRPL50"
"592","ADAM10"
"593","PMM2"
"594","UBE3C"
"595","CD2BP2"
"596","NDFIP2"
"597","POLR2B"
"598","SUGT1"
"599","LTN1"
"600","DLD"
"601","ALG2"
"602","RNF10"
"603","TBRG1"
"604","CELF1"
"605","COPB2"
"606","PPP1CA"
"607","EP400"
"608","THOC3"
"609","THOC2"
"610","ISCA1"
"611","RRP1B"
"612","CUL1"
"613","COPS6"
"614","NFYC"
"615","SKA3"
"616","PRPF31"
"617","WDR61"
"618","WDR82"
"619","YLPM1"
"620","OIP5"
"621","MCM10"
"622","CNIH1"
"623","PRPF38B"
"624","RIOK3"
"625","SPIN1"
"626","ADIPOR1"
"627","UTP18"
"628","COPS5"
"629","UROD"
"630","NUP93"
"631","FCF1"
"632","MRPS30"
"633","RFC2"
"634","CHERP"
"635","DNAJC9"
"636","RAB35"
"637","NKTR"
"638","CIAPIN1"
"639","DDX47"
"640","GLG1"
"641","HNRNPH1"
"642","DGUOK"
"643","EP300"
"644","TMEM59"
"645","CEP350"
"646","PNRC2"
"647","NUDCD2"
"648","ATXN3"
"649","ORC4"
"650","EIF2B1"
"651","C17ORF85"
"652","NFRKB"
"653","PPP6C"
"654","GCC2"
"655","RRP9"
"656","CCNL2"
"657","UBIAD1"
"658","NOL8"
"659","SMU1"
"660","BIRC6"
"661","PLA2G12A"
"662","HNRNPUL1"
"663","UBR1"
"664","PHF3"
"665","PDAP1"
"666","SUPT6H"
"667","ATP6V1C1"
"668","PHF5A"
"669","SEC22B"
"670","POLR3H"
"671","ASH1L"
"672","GPN1"
"673","COX17"
"674","CDCA5"
"675","TXNDC9"
"676","CFDP1"
"677","ZDHHC5"
"678","GPBP1L1"
"679","TUSC2"
"680","GNPNAT1"
"681","USP8"
"682","IGBP1"
"683","AZIN1"
"684","FIS1"
"685","TNRC6A"
"686","NUP43"
"687","C6ORF106"
"688","DPM1"
"689","NCAPH2"
"690","NCAPD2"
"691","SART3"
"692","TIA1"
"693","RREB1"
"694","CHD1"
"695","MED27"
"696","HP1BP3"
"697","LIN7C"
"698","ERLEC1"
"699","VTA1"
"700","CACUL1"
"701","PIP4K2C"
"702","PARN"
"703","BRD7"
"704","ZMAT2"
"705","CHMP1A"
"706","WBP4"
"707","COPB1"
"708","MTCH1"
"709","LUZP6.MTPN"
"710","FAM204A"
"711","MPHOSPH8"
"712","UBA6"
"713","HDAC1"
"714","ICE2"
"715","RBM4"
"716","ZC3H13"
"717","ZC3H14"
"718","NRAS"
"719","ZNF24"
"720","RNASEH2C"
"721","MRPL49"
"722","TMX1"
"723","MOB1A"
"724","RIF1"
"725","NXT1"
"726","API5"
"727","FGFR1OP"
"728","CCDC6"
"729","SMC5"
"730","CCDC43"
"731","UBE3A"
"732","KIAA1429"
"733","SNRNP27"
"734","CPSF7"
"735","NUP214"
"736","RPRD1A"
"737","SLC25A36"
"738","EIF2A"
"739","TRIP11"
"740","C9ORF114"
"741","EFCAB14"
"742","KIF11"
"743","PDS5B"
"744","FTSJ2"
"745","NDUFAF5"
"746","RNMTL1"
"747","MCM2"
"748","NAMPT"
"749","TMEM199"
"750","HIPK1"
"751","AP1M2"
"752","RSL24D1"
"753","HELZ"
"754","ITCH"
"755","CCNB2"
"756","ALKBH5"
"757","AQR"
"758","HARS"
"759","CHD8"
"760","TRIM27"
"761","DHX16"
"762","PCNT"
"763","EPT1"
"764","QTRTD1"
"765","PRKAR1A"
"766","EML4"
"767","RNASEH1"
"768","SEC23B"
"769","APOPT1"
"770","CLPB"
"771","RBM5"
"772","PRC1"
"773","MAK16"
"774","MGEA5"
"775","LSG1"
"776","KIAA0100"
"777","FAM168B"
"778","ZBTB40"
"779","DYNC1I2"
"780","FAM200B"
"781","TPX2"
"782","XRN2"
"783","TUG1"
"784","SWAP70"
"785","UGGT1"
"786","NCAPG"
"787","MKLN1"
"788","COX10"
"789","UBL7"
"790","RIOK1"
